,School Name,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Grad.Rate,Expend
993,Mount Saint Clare College,Yes,325,284,95,16,33,364,88,9900,3650,500,1200,32,37,13.6,43,21,6525
994,Stetson University,Yes,1557,1227,489,37,69,1964,81,12315,4565,600,1365,85,90,12.5,24,73,10307
995,Dana College,Yes,504,482,185,10,36,550,84,9130,3322,450,1450,46,51,12.6,25,54,8686
996,University of Southern Colorado,No,1401,1239,605,10,34,3716,675,7100,4380,540,2948,63,88,19.4,0,36,5389
997,Marymount University,Yes,941,772,214,10,30,1247,776,11390,5280,500,750,77,82,10.6,17,55,8575
998,Moorhead State University,No,2442,2164,1189,12,37,5983,1075,4426,2664,600,1000,76,81,18.1,19,60,4795
999,Alverno College,Yes,494,313,157,23,46,1317,1235,8352,3640,650,2449,36,69,11.1,26,55,8127
1000,Valparaiso University,Yes,2075,1727,520,49,81,2501,198,11800,3260,500,800,87,89,14.2,23,95,9681
1001,King's College,Yes,1456,1053,381,20,45,500,541,10910,5160,400,1795,66,72,15.6,37,87,7649
1002,Antioch University,Yes,713,661,252,25,44,712,23,15476,3336,400,1100,69,82,11.3,35,48,42926
1003,University of Rhode Island,No,9643,7751,1968,12,40,8894,2456,10330,5558,500,1250,84,89,16.6,7,63,9158
1004,Carleton College,Yes,2694,1579,489,75,93,1870,12,19292,3957,550,550,81,93,10.4,60,91,17960
1005,College of Mount St. Vincent,Yes,946,648,177,23,46,707,432,11790,5770,500,1000,75,77,11.9,35,83,10015
1006,Washington and Jefferson College,Yes,1305,1100,334,42,64,1098,151,16260,4005,300,500,91,91,12.1,40,86,10162
1007,Livingstone College,Yes,900,473,217,22,47,621,11,4400,3400,800,900,53,93,10.4,16,92,9268
1008,Centenary College of Louisiana,Yes,495,434,210,35,55,775,44,8950,3490,600,1900,86,92,11.3,25,66,9685
1009,Transylvania University,Yes,759,729,244,57,81,867,51,10900,4450,500,1000,81,91,12.1,41,70,10219
1010,Siena College,Yes,2961,1932,628,24,68,2669,616,10800,5100,575,1090,71,82,14.1,42,100,8189
1011,University of the Pacific,Yes,2459,1997,582,36,66,2664,299,16320,5326,646,1171,87,94,11.2,14,65,13706
1012,Fort Lewis College,No,3440,2823,1123,16,35,3793,486,6198,3320,500,2500,89,97,19.1,6,46,4362
1013,Hastings College,Yes,817,708,262,22,52,935,37,9376,3272,500,1902,57,63,13,17,52,7335
1014,Doane College,Yes,793,709,244,20,47,1022,411,9570,3000,400,1000,67,72,15.1,42,60,6852
1015,Westminster College,Yes,996,866,377,29,58,1411,72,12065,3615,430,685,62,78,12.5,41,80,8596
1016,Oklahoma Christian University,Yes,776,765,351,22,44,1419,228,6400,3150,500,1900,58,64,16.2,8,45,6578
1017,Ursuline College,Yes,325,260,86,21,47,699,717,9600,4202,450,750,39,69,10.5,15,68,7164
1018,Tuskegee University,Yes,2267,1827,611,20,59,2825,144,6735,3395,600,1425,70,74,12.2,7,65,10872
1019,Simpson College,Yes,1016,872,300,27,57,1116,602,11250,4980,550,1400,66,73,15.8,36,70,7411
1020,Mississippi University for Women,No,480,405,380,19,46,1673,1014,4386,2217,600,1500,49,54,15.8,8,63,5704
1021,Gannon University,Yes,2464,1908,678,24,57,2693,691,10970,4280,500,1380,47,51,13.3,18,65,7711
1022,Lenoir-Rhyne College,Yes,979,743,259,25,46,1188,166,10100,4000,400,1000,88,92,12,20,66,8539
1023,Georgetown University,Yes,11115,2881,1390,71,93,5881,406,18300,7131,670,1700,91,92,7.2,27,95,19635
1024,King College,Yes,355,300,142,34,65,509,44,8664,3350,600,3000,65,68,10.7,25,65,8954
1025,University of Illinois - Urbana,No,14939,11652,5705,52,88,25422,911,7560,4574,500,1982,87,90,17.4,13,81,8559
1026,Claflin College,Yes,1196,697,499,21,47,959,13,4412,2460,500,1000,69,69,16.9,31,21,7083
1027,Spelman College,Yes,3713,1237,443,47,83,1971,107,7000,5565,660,2400,73,80,12.5,18,65,9988
1028,University of Detroit Mercy,Yes,927,731,415,24,50,2149,2217,11130,3996,600,2166,72,79,13.5,14,51,10891
1029,Adelphi University,Yes,2186,1924,512,16,29,2683,1227,12280,6450,750,1500,29,30,12.2,16,56,10527
1030,Webber College,Yes,280,143,79,5,27,327,110,5590,2900,650,1952,53,63,15.1,4,90,4839
1031,Huron University,Yes,600,197,124,3,9,392,69,7260,3090,600,1840,31,35,12.9,4,21,9249
1032,Saint Joseph's College,Yes,833,682,217,12,33,716,2196,9985,5180,500,800,53,89,27.2,8,85,4322
1033,Wisconsin Lutheran College,Yes,152,128,75,17,41,282,22,9100,3700,500,1400,48,48,8.5,26,50,8960
1034,Meredith College,Yes,857,772,376,25,58,1721,470,6720,3250,450,1520,77,82,13.9,33,82,6881
1035,Carleton College,Yes,2694,1579,489,75,93,1870,12,19292,3957,550,550,81,93,10.4,60,91,17960
1036,Loras College,Yes,1641,1283,527,20,39,1663,170,11200,4000,500,1200,61,62,14.2,24,70,7578
1037,Phillips University,Yes,692,576,174,19,50,597,83,10500,3860,600,940,58,64,11.6,19,39,8990
1038,SUNY College at Cortland,No,7888,3519,1036,6,40,5011,346,6550,4680,630,1274,82,85,17.8,17,53,5563
1039,SUNY College  at Oswego,No,8000,4556,1464,17,70,6943,869,6550,4810,500,1500,69,85,22,21,63,5280
1040,Muskingum College,Yes,1109,922,375,24,46,1115,70,13240,3914,600,800,73,85,13.4,27,73,9333
1041,University of Evansville,Yes,2096,1626,694,35,67,2551,407,11800,4340,700,960,60,81,15.8,26,77,7780
1042,Mercyhurst College,Yes,1557,1074,397,15,40,1805,433,9813,4050,425,1000,45,63,16.7,29,78,7307
1043,Embry Riddle Aeronautical University,Yes,3151,2584,958,14,40,4772,856,7800,3750,570,3020,37,43,16.5,4,44,12878
1044,Duke University,Yes,13789,3893,1583,90,98,6188,53,18590,5950,625,1162,95,96,5,44,97,27206
1045,Wesleyan University,Yes,4772,1973,712,60,86,2714,27,19130,5600,1400,1400,90,94,12.1,39,92,16262
1046,William Woods University,Yes,469,435,227,17,39,851,120,10535,4365,550,3700,39,66,12.9,16,52,7438
1047,Rollins College,Yes,1777,1151,382,31,55,1668,1052,16425,5220,955,750,81,85,13.3,23,90,11561
1048,King College,Yes,355,300,142,34,65,509,44,8664,3350,600,3000,65,68,10.7,25,65,8954
1049,University of North Dakota,No,2777,2249,1652,20,54,8334,1435,5634,2703,450,1200,97,97,15.9,16,49,9424
1050,Barry University,Yes,990,784,279,18,45,1811,3144,11290,5360,600,1800,76,78,12.6,11,72,9084
1051,Ohio Northern University,Yes,2936,2342,669,35,62,2502,66,15990,4080,600,825,73,78,14.5,31,83,9979
1052,Montana College of Mineral Sci. & Tech.,No,572,544,320,45,72,1470,416,6073,3400,550,1400,71,71,16.4,31,74,6112
1053,SUNY College  at Brockport,No,7294,3564,904,7,34,5758,1363,6550,4460,500,705,79,83,19,14,49,6632
1054,Worcester Polytechnic Institute,Yes,2768,2314,682,49,86,2802,86,15884,5370,530,730,92,94,15.2,34,82,10774
1055,Johnson State College,No,833,669,279,3,13,1224,345,7656,4690,500,624,80,91,14.4,15,36,6564
1056,McKendree College,Yes,1002,555,119,16,43,836,684,7680,3740,500,800,70,74,17.7,21,52,6652
1057,Stonehill College,Yes,3646,2300,585,25,69,2022,926,12170,6172,480,800,79,79,13,30,97,7495
1058,Lesley College,Yes,244,198,82,12,33,1134,336,11700,5300,550,805,71,88,27.8,18,58,8694
1059,SUNY College at Geneseo,No,8598,4562,1143,56,93,5060,146,6550,4170,600,650,79,84,19.1,25,76,5716
1060,Shippensburg University of Penn.,No,5818,3281,1116,14,53,5268,300,7844,3504,450,1700,80,83,18.8,13,72,6719
1061,Arkansas Tech University,No,1734,1729,951,12,52,3602,939,3460,2650,450,1000,57,60,19.6,5,48,4739
1062,Maryville College,Yes,1464,888,176,26,52,624,128,11200,4208,500,1642,80,90,11.1,43,51,8317
1063,Union College KY,Yes,484,384,177,9,45,634,78,7800,2950,500,600,60,88,14.1,9,64,6864
1064,Viterbo College,Yes,647,518,271,17,43,1014,387,9140,3365,500,2245,51,65,10.7,31,73,8050
1065,D'Youville College,Yes,866,619,157,18,47,1074,336,8920,4310,680,1320,68,68,14.6,42,46,6898
1066,University of Rochester,Yes,8766,5498,1243,56,75,5071,438,17840,6582,500,882,93,99,5.9,23,80,26037
1067,Eastern Nazarene College,Yes,516,409,200,17,40,1238,30,8770,3500,450,700,58,58,17.3,17,70,6430
1068,Butler University,Yes,2362,2037,700,40,68,2607,148,13130,4650,500,1600,77,81,10.9,29,83,9511
1069,Greenville College,Yes,510,387,194,20,46,771,53,10310,4530,400,800,57,61,14.3,16,60,8222
1070,Mount Saint Mary College,Yes,1170,695,238,14,48,1170,429,7470,4600,250,1400,74,75,15.3,23,88,6898
1071,Xavier University of Louisiana,Yes,2097,1915,695,34,61,2793,166,6900,4200,617,781,67,75,14.4,20,49,8323
1072,Ursinus College,Yes,1399,1026,308,44,77,1131,17,14900,5160,500,800,82,85,11.6,40,79,12082
1073,Missouri Valley College,Yes,1310,983,316,5,35,1057,175,8550,5050,400,900,35,67,17.4,16,27,4333
1074,Evergreen State College,No,1801,1101,438,14,50,3065,363,6297,4600,600,1323,75,78,18.1,14,68,8355
1075,Simpson College,Yes,1016,872,300,27,57,1116,602,11250,4980,550,1400,66,73,15.8,36,70,7411
1076,University of Arkansas at Fayetteville,No,3235,3108,2133,25,65,9978,1530,5028,3300,500,2000,73,89,14.8,10,39,6820
1077,Marymount College Tarrytown,Yes,478,327,117,9,34,731,370,11510,6450,575,1075,71,93,10.3,30,77,10502
1078,University of Mobile,Yes,452,331,269,17,54,1417,301,6150,3680,550,1200,59,63,16.6,4,52,5412
1079,Wells College,Yes,318,240,130,40,85,416,19,14900,5550,600,500,93,98,8.3,42,69,13935
1080,Lincoln Memorial University,Yes,787,562,363,21,55,925,605,5950,2890,600,1300,67,72,14.6,35,53,5177
1081,Husson College,Yes,723,652,361,10,30,951,706,7800,4000,350,1500,36,44,22,4,84,4923
1082,Valley City State University,No,368,344,212,5,27,863,189,4286,2570,600,2000,39,41,14.9,25,40,4958
1083,University of Northern Colorado,No,5530,4007,1697,12,37,8463,1498,7731,4128,540,2286,75,75,21.5,8,40,6309
1084,Washington State University,No,6540,5839,2440,31,70,14445,1344,8200,4210,800,2719,84,87,16.9,30,56,10912
1085,University of the Pacific,Yes,2459,1997,582,36,66,2664,299,16320,5326,646,1171,87,94,11.2,14,65,13706
1086,Northern Illinois University,No,10706,7219,2397,12,37,14826,1979,7799,3296,470,1750,73,78,17.3,11,56,6086
1087,LeTourneau University,Yes,477,417,204,29,54,1532,77,8840,4240,600,1400,58,70,20.8,23,56,6863
1088,Eastern Mennonite College,Yes,486,440,227,19,48,903,59,9650,3800,600,1300,46,65,11.4,29,82,10188
1089,Fordham University,Yes,4200,2874,942,30,55,4740,1646,14235,6965,600,1735,86,97,14.4,14,80,10864
1090,University of North Carolina at Chapel Hill,No,14596,5985,3331,75,92,14609,1100,8400,4200,550,1200,88,93,8.9,23,83,15893
1091,Hillsdale College,Yes,920,745,347,35,66,1133,42,11090,4700,400,750,80,80,12,31,79,12639
1092,Indiana State University,No,5659,4761,3147,10,31,8596,1949,6892,3706,600,2500,72,76,16.6,8,40,6996
1093,Stevens Institute of Technology,Yes,1768,1249,380,51,93,1263,11,16900,5680,450,750,89,89,19,33,79,12837
1094,Eastern Nazarene College,Yes,516,409,200,17,40,1238,30,8770,3500,450,700,58,58,17.3,17,70,6430
1095,Greenville College,Yes,510,387,194,20,46,771,53,10310,4530,400,800,57,61,14.3,16,60,8222
1096,St. Mary's College of Maryland,No,1340,695,285,42,73,1315,209,6800,4730,675,1250,84,89,11.6,23,63,10357
1097,John Carroll University,Yes,2421,2109,820,27,57,3168,392,11700,5550,600,450,89,90,14.5,28,89,7738
1098,University of Vermont,No,7663,6008,1735,18,51,7353,1674,15516,4928,500,990,87,90,9.9,10,79,12646
1099,Chestnut Hill College,Yes,342,254,126,25,64,518,232,10335,5015,700,850,71,71,8.3,29,73,7729
1100,Texas Christian University,Yes,4095,3079,1195,33,64,5064,660,8490,3320,650,2400,81,93,14.8,23,64,9158
1101,Elon College,Yes,3624,2786,858,11,39,2933,334,9100,3883,490,1777,70,74,18.9,34,63,6329
1102,College of Wooster,Yes,2100,1883,553,29,65,1704,1,16240,4690,500,500,84,96,11.1,43,69,14140
1103,Franciscan University of Steubenville,Yes,553,452,228,22,49,1301,242,9650,4400,600,1000,57,69,14.9,8,83,6336
1104,Virginia State University,No,2996,2440,704,2,30,3006,338,5587,4845,500,600,61,63,16,11,31,5733
1105,McMurry University,Yes,578,411,187,25,50,880,477,6930,3452,400,1525,57,64,11,11,32,6383
1106,Concordia University,Yes,528,403,186,22,56,1168,145,9216,4191,400,1000,56,64,12.1,13,75,7309
1107,St. John Fisher College,Yes,1368,1064,354,19,51,1687,677,10570,5600,400,800,86,81,14.5,29,66,7908
1108,University of Montevallo,No,1351,892,570,18,78,2385,331,4440,3030,300,600,72,72,18.9,8,51,5883
1109,South Dakota State University,No,2807,2589,1701,13,37,7000,1103,3811,2190,500,1970,62,65,15,29,67,5084
1110,Saint Peter's College,Yes,1606,1413,530,23,38,1921,1154,9408,5520,500,450,78,78,12.1,22,53,7669
1111,Union College KY,Yes,484,384,177,9,45,634,78,7800,2950,500,600,60,88,14.1,9,64,6864
1112,Milwaukee School of Engineering,Yes,1217,1088,496,36,69,1773,884,11505,3255,1000,2075,35,46,16.7,23,67,7140
1113,Elon College,Yes,3624,2786,858,11,39,2933,334,9100,3883,490,1777,70,74,18.9,34,63,6329
1114,Westminster College of Salt Lake City,Yes,917,720,213,21,60,979,743,8820,4050,600,2025,68,83,10.5,34,50,7170
1115,Johnson State College,No,833,669,279,3,13,1224,345,7656,4690,500,624,80,91,14.4,15,36,6564
1116,Lake Forest College,Yes,979,638,271,31,70,968,20,16880,3970,920,1320,91,94,10.7,19,77,15687
1117,Ripon College,Yes,587,501,211,28,52,735,28,15200,4100,350,650,87,90,9.4,49,64,12472
1118,Syracuse University,Yes,10477,7260,2442,28,67,10142,117,15150,6870,635,960,73,84,11.3,13,67,14231
1119,Augustana College IL,Yes,1879,1658,497,36,69,1950,38,13353,4173,540,821,78,83,12.7,40,71,9220
1120,Wagner College,Yes,1416,1015,417,10,44,1324,117,13500,5800,585,1700,67,78,13.2,23,75,9006
1121,Regis College,Yes,427,385,143,18,38,581,533,12700,5800,450,700,81,85,10.3,37,84,11758
1122,University of Pennsylvania,Yes,12394,5232,2464,85,100,9205,531,17020,7270,500,1544,95,96,6.3,38,93,25765
1123,Saint Francis College,Yes,1046,824,284,21,45,1223,451,10880,5050,400,1235,64,64,19.3,24,69,7344
1124,University of Rhode Island,No,9643,7751,1968,12,40,8894,2456,10330,5558,500,1250,84,89,16.6,7,63,9158
1125,Northwest Missouri State University,No,2729,2535,1257,8,29,4787,472,3735,3136,250,1630,62,65,21.7,23,54,5284
1126,University of Pennsylvania,Yes,12394,5232,2464,85,100,9205,531,17020,7270,500,1544,95,96,6.3,38,93,25765
1127,Louisiana Tech University,No,2397,2144,1525,22,45,6720,1822,3957,2325,618,1656,66,77,20,13,45,4546
1128,Hillsdale College,Yes,920,745,347,35,66,1133,42,11090,4700,400,750,80,80,12,31,79,12639
1129,University of Texas at Austin,No,14752,9572,5329,48,85,30017,5189,5130,3309,650,3140,91,99,19.7,11,65,7837
1130,SUNY College at Plattsburgh,No,5549,3583,853,9,40,5004,475,6550,4176,600,1380,80,90,17.9,16,65,6174
1131,Christian Brothers University,Yes,880,520,224,16,42,1068,364,9300,3260,600,900,81,81,11.1,24,63,8129
1132,Northeastern University,Yes,11901,8492,2517,16,42,11160,10221,13380,7425,600,1750,73,82,12.9,17,46,9563
1133,Texas Lutheran College,Yes,497,423,215,27,57,895,429,7850,3410,490,1700,54,58,13.8,24,50,7002
1134,University of Montevallo,No,1351,892,570,18,78,2385,331,4440,3030,300,600,72,72,18.9,8,51,5883
1135,University of the Arts,Yes,974,704,290,5,22,1145,39,12520,3860,1300,700,16,59,7.5,9,57,11641
1136,University of Tennessee at Knoxville,No,7473,5372,3013,27,53,15749,3237,5764,3262,750,3300,86,92,16.5,22,53,8612
1137,Mississippi State University,No,4255,3277,1609,18,57,10094,1621,9866,3084,480,1479,77,77,15.9,20,53,6223
1138,Drury College,Yes,700,650,314,33,66,1065,48,8730,3523,500,750,82,92,13.2,35,67,9303
1139,Creighton University,Yes,2967,2836,876,30,60,3450,644,10628,4372,650,2055,85,90,6.5,32,85,22906
1140,Hanover College,Yes,1006,837,317,33,65,1024,15,8200,3485,500,1200,84,84,10.6,26,64,9248
1141,Georgia Institute of Technology,No,7837,4527,2276,89,99,8528,654,6489,4438,795,1164,92,92,19.3,33,70,11271
1142,Keuka College,Yes,461,381,174,10,43,738,55,9600,4550,600,750,55,94,13.3,43,51,7863
1143,Texas Lutheran College,Yes,497,423,215,27,57,895,429,7850,3410,490,1700,54,58,13.8,24,50,7002
1144,Bryn Mawr College,Yes,1465,810,313,71,95,1088,16,18165,6750,500,1200,100,100,12.3,49,89,17449
1145,Antioch University,Yes,713,661,252,25,44,712,23,15476,3336,400,1100,69,82,11.3,35,48,42926
1146,Barnard College,Yes,2496,1402,531,53,95,2121,69,17926,8124,600,850,83,93,10.3,33,91,12580
1147,Berry College,Yes,1858,1221,480,37,68,1620,49,8050,3940,350,2375,80,80,16.3,17,63,10511
1148,University of Tulsa,Yes,1712,1557,696,41,68,2936,433,11750,4160,1200,2350,94,96,11.5,10,47,11743
1149,Livingstone College,Yes,900,473,217,22,47,621,11,4400,3400,800,900,53,93,10.4,16,92,9268
1150,Carnegie Mellon University,Yes,8728,5201,1191,60,89,4265,291,17900,5690,450,1250,86,93,9.2,31,74,24386
1151,Buena Vista College,Yes,860,688,285,32,70,1928,442,13306,3797,450,950,62,69,8.8,10,78,6333
1152,Clarke College,Yes,460,340,167,14,45,604,350,10740,3676,350,900,67,71,11,27,74,7963
1153,Ohio Northern University,Yes,2936,2342,669,35,62,2502,66,15990,4080,600,825,73,78,14.5,31,83,9979
1154,Rhodes College,Yes,2302,1831,391,58,82,1345,59,15200,4768,550,1500,90,96,10.8,47,77,13388
1155,Southwestern College,Yes,213,155,75,28,66,504,147,7200,3532,550,1500,56,56,11.8,12,52,7818
1156,Malone College,Yes,874,758,428,21,46,1605,246,9858,3700,450,1200,42,45,17.6,16,55,4796
1157,St. John Fisher College,Yes,1368,1064,354,19,51,1687,677,10570,5600,400,800,86,81,14.5,29,66,7908
1158,Drake University,Yes,2799,2573,839,34,65,3322,726,13420,4770,560,1675,88,93,15,24,77,9473
1159,Albertson College,Yes,587,479,158,38,62,678,41,13500,3335,500,675,67,73,9.4,11,55,9727
1160,University of Scranton,Yes,4471,2942,910,29,60,3674,493,11584,5986,650,800,83,83,14.1,41,92,9131
1161,Ohio University,No,11023,8298,3183,21,54,14861,1310,7629,4095,550,2300,79,87,20.4,13,64,8811
1162,Merrimack College,Yes,1981,1541,514,18,36,1927,1084,12500,6200,375,1000,73,75,16.8,22,80,8707
1163,Williams College,Yes,4186,1245,526,81,96,1988,29,19629,5790,500,1200,94,99,9,64,99,22014
1164,University of Hartford,Yes,5081,4040,1194,11,26,3768,1415,14220,6000,500,1440,61,76,10.7,9,66,10625
1165,Columbia College,Yes,737,614,242,21,67,968,237,10425,3975,500,1500,61,77,14.7,34,76,8693
1166,Lycoming College,Yes,1286,1005,363,16,37,1363,74,13900,4300,500,900,75,81,14,32,72,8024
1167,Duke University,Yes,13789,3893,1583,90,98,6188,53,18590,5950,625,1162,95,96,5,44,97,27206
1168,University of Connecticut at Storrs,No,9735,7187,2064,23,63,12478,1660,11656,5072,700,2300,89,95,16,16,71,10178
1169,Ripon College,Yes,587,501,211,28,52,735,28,15200,4100,350,650,87,90,9.4,49,64,12472
1170,Saint Joseph College,Yes,292,241,96,20,52,543,712,12200,4600,650,950,87,90,11.2,32,76,8680
1171,Tabor College,Yes,257,183,109,19,41,396,38,7850,3410,400,1500,55,70,10,15,53,7233
1172,Manchester College,Yes,1004,802,239,23,63,909,51,10440,3850,525,1450,63,72,11.8,20,64,7940
1173,Lamar University,No,2336,1725,1043,10,27,5438,4058,4752,3040,508,1463,48,82,18.4,12,26,5879
1174,University of Pennsylvania,Yes,12394,5232,2464,85,100,9205,531,17020,7270,500,1544,95,96,6.3,38,93,25765
1175,Illinois Institute of Technology,Yes,1756,1360,478,42,77,1911,626,14550,4620,500,700,80,88,12.3,26,56,12851
1176,Bellarmine College,Yes,807,707,308,39,63,1198,605,8840,2950,750,1290,74,82,13.1,31,84,6668
1177,Brewton-Parker College,Yes,1436,1228,1202,10,26,1320,822,4371,2370,500,2000,62,62,12.6,10,18,4900
1178,University of Southern California,Yes,12229,8498,2477,45,71,13259,1429,17230,6482,600,2210,90,94,11.4,10,68,17007
1179,Viterbo College,Yes,647,518,271,17,43,1014,387,9140,3365,500,2245,51,65,10.7,31,73,8050
1180,Centenary College,Yes,369,312,90,12,46,396,526,11400,5400,500,760,41,85,9.5,20,24,9583
1181,University of California at Berkeley,No,19873,8252,3215,95,100,19532,2061,11648,6246,636,1933,93,97,15.8,10,78,13919
1182,Virginia Commonwealth University,No,4963,3497,1567,18,45,10262,5065,10217,4182,500,3630,81,87,8.7,11,45,11183
1183,University of Maryland at Baltimore County,No,4269,2594,985,27,57,6476,2592,8594,4408,494,2768,82,88,18.4,6,55,7618
1184,Valparaiso University,Yes,2075,1727,520,49,81,2501,198,11800,3260,500,800,87,89,14.2,23,95,9681
1185,University of Wisconsin at Green Bay,No,2409,1939,759,17,50,3819,1347,6900,2800,475,1200,81,89,22.2,1,46,5968
1186,Tiffin University,Yes,845,734,254,5,21,662,351,7600,3800,600,1200,59,74,19,40,39,5096
1187,Western New England College,Yes,1650,1471,409,7,21,1803,1116,8994,5500,498,2065,74,97,15.4,15,59,8409
1188,McKendree College,Yes,1002,555,119,16,43,836,684,7680,3740,500,800,70,74,17.7,21,52,6652
1189,Brewton-Parker College,Yes,1436,1228,1202,10,26,1320,822,4371,2370,500,2000,62,62,12.6,10,18,4900
1190,Delta State University,No,967,945,459,15,48,2806,538,4528,1880,500,1200,49,63,17.1,16,58,5113
1191,Eckerd College,Yes,1422,1109,366,33,65,1363,23,15360,4080,600,1000,82,89,12.8,26,59,15003
1192,Adrian College,Yes,1428,1097,336,22,50,1036,99,11250,3750,400,1165,53,66,12.9,30,54,8735
1193,Converse College,Yes,440,407,149,35,70,643,80,12050,3700,500,900,63,76,10.2,31,75,10965
1194,Mount Saint Mary's College,Yes,1321,1159,328,15,36,1243,79,12850,6200,550,900,77,82,12.8,36,80,8536
1195,Rutgers State University at Camden,No,3366,1752,232,27,79,2585,1300,7411,4748,690,2009,90,95,18.6,12,57,10134
1196,Moorhead State University,No,2442,2164,1189,12,37,5983,1075,4426,2664,600,1000,76,81,18.1,19,60,4795
1197,Drury College,Yes,700,650,314,33,66,1065,48,8730,3523,500,750,82,92,13.2,35,67,9303
1198,Arizona State University Main campus,No,12809,10308,3761,24,49,22593,7585,7434,4850,700,2100,88,93,18.9,5,48,4602
1199,Trinity College VT,Yes,222,185,91,16,41,484,541,11010,5208,550,500,58,78,10.4,26,78,9586
1200,Canisius College,Yes,2853,2193,753,16,34,2978,434,10750,5340,400,1130,90,92,14.6,26,64,7972
1201,College of the Holy Cross,Yes,2994,1691,659,70,95,2675,22,18000,6300,400,900,92,96,11.3,55,95,12138
1202,Concordia University CA,Yes,688,497,144,30,75,641,101,10800,4440,570,1515,55,60,13.1,13,55,8415
1203,Ursuline College,Yes,325,260,86,21,47,699,717,9600,4202,450,750,39,69,10.5,15,68,7164
1204,University of Southern Colorado,No,1401,1239,605,10,34,3716,675,7100,4380,540,2948,63,88,19.4,0,36,5389
1205,University of Missouri at Saint Louis,No,1618,1141,479,18,54,4793,4552,7246,3964,500,4288,71,73,13.4,15,48,6433
1206,Bellarmine College,Yes,807,707,308,39,63,1198,605,8840,2950,750,1290,74,82,13.1,31,84,6668
1207,McMurry University,Yes,578,411,187,25,50,880,477,6930,3452,400,1525,57,64,11,11,32,6383
1208,Muskingum College,Yes,1109,922,375,24,46,1115,70,13240,3914,600,800,73,85,13.4,27,73,9333
1209,Georgian Court College,Yes,348,281,127,12,52,1095,785,9150,3950,500,800,56,59,12.2,27,76,7348
1210,Eastern College,Yes,458,369,165,16,42,1057,355,11190,4800,450,1230,60,60,13.6,22,54,8135
1211,University of Northern Colorado,No,5530,4007,1697,12,37,8463,1498,7731,4128,540,2286,75,75,21.5,8,40,6309
1212,SUNY at Buffalo,No,15039,9649,3087,36,100,13963,3124,6550,4731,708,957,90,97,13.6,15,56,11177
1213,New York University,Yes,13594,7244,2505,70,86,12408,2814,17748,7262,450,1000,87,98,7.8,16,71,21227
1214,Husson College,Yes,723,652,361,10,30,951,706,7800,4000,350,1500,36,44,22,4,84,4923
1215,Morningside College,Yes,586,533,239,16,36,950,228,10520,3678,500,1000,48,68,13,32,56,8111
1216,SUNY College at Fredonia,No,4877,2798,814,13,48,4123,298,6550,4420,620,1481,82,90,16.3,10,66,6442
1217,Marymount Manhattan College,Yes,695,535,239,21,30,988,785,10200,7000,350,1100,63,76,11.7,20,68,10622
1218,Huntingdon College,Yes,608,520,127,26,47,538,126,8080,3920,500,1100,63,72,11.4,9,44,7703
1219,University of North Carolina at Greensboro,No,5191,4134,1500,15,44,7532,1847,8677,3505,600,1300,75,94,15.5,17,53,7392
1220,University of Richmond,Yes,5892,2718,756,46,72,2854,594,14500,3285,700,1125,75,89,11.7,32,100,11984
1221,Whitman College,Yes,1861,998,359,45,77,1220,46,16670,4900,750,800,80,83,10.5,51,72,13198
1222,Valparaiso University,Yes,2075,1727,520,49,81,2501,198,11800,3260,500,800,87,89,14.2,23,95,9681
1223,Agnes Scott College,Yes,417,349,137,60,89,510,63,12960,5450,450,875,92,97,7.7,37,59,19016
1224,Rosary College,Yes,434,321,141,28,53,624,269,10950,4600,550,950,79,82,12.9,30,81,9264
1225,Trinity College CT,Yes,3058,1798,478,46,84,1737,244,18810,5690,500,680,91,96,10.4,48,91,18034
1226,Piedmont College,Yes,663,562,127,20,40,641,63,5640,3620,600,750,89,89,13.2,17,31,7309
1227,William Woods University,Yes,469,435,227,17,39,851,120,10535,4365,550,3700,39,66,12.9,16,52,7438
1228,Hofstra University,Yes,7428,5860,1349,25,63,6534,1350,11600,5920,1000,1000,81,90,13.9,10,60,10093
1229,Hobart and William Smith Colleges,Yes,2688,2081,500,25,53,1792,5,19029,5841,600,600,99,99,12.1,37,79,13040
1230,Adelphi University,Yes,2186,1924,512,16,29,2683,1227,12280,6450,750,1500,29,30,12.2,16,56,10527
1231,Kansas Wesleyan University,Yes,589,575,148,16,40,474,258,8400,3250,500,1400,63,55,12.4,14,68,6535
1232,Messiah College,Yes,1742,1382,607,30,64,2258,53,10300,5080,475,1200,68,75,14.1,30,89,7762
1233,Prairie View A. and M. University,No,2405,2234,1061,10,22,4564,448,4290,3500,598,1582,55,93,19.4,1,35,5967
1234,Pikeville College,Yes,404,400,169,28,48,797,100,6000,3000,500,500,48,57,13.4,14,61,5557
1235,East Tennessee State University,No,3330,2730,1303,15,36,6706,2640,5800,3000,600,2200,73,75,14,9,42,9825
1236,Judson College,Yes,313,228,137,10,30,552,67,9414,4554,500,1700,34,55,10.6,30,56,7840
1237,SUNY at Binghamton,No,14463,6166,1757,60,94,8544,671,6550,4598,700,1000,83,100,18,15,80,8055
1238,University of Wisconsin at Green Bay,No,2409,1939,759,17,50,3819,1347,6900,2800,475,1200,81,89,22.2,1,46,5968
