,Wine.Color,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,Class
4471,W,6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,Bad
4472,W,7.6,0.14,0.74,1.6,0.04,27,103,0.9916,3.07,0.4,10.8,Good
4473,W,7.2,0.17,0.37,6.9,0.059,47,128,0.99322,3.08,0.46,11,Good
4474,R,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,Bad
4475,R,7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,Bad
4476,W,6.7,0.26,0.29,7.1,0.036,28,100,0.99534,3.08,0.36,9.3,Good
4477,W,8,0.2,0.44,1,0.057,24,111,0.99158,3.09,0.32,11.2,Bad
4478,W,8.6,0.23,0.25,11.3,0.031,13,96,0.99645,3.11,0.4,10.8,Bad
4479,W,6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,Good
4480,W,7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,Bad
4481,W,6.3,0.29,0.23,14.2,0.037,24,99,0.99528,3.08,0.38,10.6,Good
4482,W,8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,Bad
4483,R,10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,Bad
4484,W,6.6,0.16,0.36,1.1,0.031,27,93,0.98884,3.23,0.34,13.2,Good
4485,W,8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,Bad
4486,W,7.2,0.2,0.28,1.6,0.028,13,168,0.99203,3.17,1.06,11.5,Good
4487,W,5.6,0.23,0.25,8,0.043,31,101,0.99429,3.19,0.42,10.4,Bad
4488,W,7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,Bad
4489,W,7,0.22,0.3,1.4,0.04,14,63,0.98985,3.2,0.33,12,Good
4490,W,6.3,0.32,0.35,11.1,0.039,29,198,0.9984,3.36,0.5,9.4,Good
4491,W,5.6,0.15,0.26,5.55,0.051,51,139,0.99336,3.47,0.5,11,Bad
4492,R,9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,Bad
4493,W,6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10,Good
4494,R,11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,Bad
4495,W,6.7,0.26,0.51,8,0.062,50,194,0.99545,3.13,0.5,9.6,Bad
4496,W,6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4,Bad
4497,R,9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,Good
4498,R,7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,Bad
4499,W,6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,Bad
4500,W,6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2,Bad
4501,W,6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,Good
4502,W,6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,Good
4503,W,8.2,0.52,0.34,1.2,0.042,18,167,0.99366,3.24,0.39,10.6,Bad
4504,W,8.2,0.36,0.29,7.6,0.035,37,122,0.9939,3.16,0.34,12,Good
4505,W,7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,Bad
4506,W,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,Good
4507,W,7.1,0.25,0.32,10.3,0.041,66,272,0.9969,3.17,0.52,9.1,Bad
4508,R,6.7,0.7,0.08,3.75,0.067,8,16,0.99334,3.43,0.52,12.6,Bad
4509,R,9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,Good
4510,W,6.5,0.26,0.74,13.3,0.044,68,224,0.9972,3.18,0.54,9.5,Good
4511,R,8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,Bad
4512,W,5.4,0.33,0.31,4,0.03,27,108,0.99031,3.3,0.43,12.2,Good
4513,R,12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,Bad
4514,W,7,0.26,0.59,1.4,0.037,40,120,0.9918,3.34,0.41,11.1,Good
4515,W,6.3,0.2,0.26,12.7,0.046,60,143,0.99526,3.26,0.35,10.8,Good
4516,W,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,Good
4517,W,8.1,0.43,0.42,6.6,0.033,36,141,0.9918,2.98,0.39,13.3,Good
4518,W,8.4,0.19,0.43,2.1,0.052,20,104,0.994,2.85,0.46,9.5,Good
4519,W,6.2,0.18,0.3,1,0.031,23,73,0.99032,3.23,0.52,11.3,Bad
4520,W,7.6,0.34,0.39,7.6,0.04,45,215,0.9965,3.11,0.53,9.2,Bad
4521,R,8.2,0.31,0.4,2.2,0.058,6,10,0.99536,3.31,0.68,11.2,Good
4522,W,6.7,0.27,0.12,1.3,0.041,62,138,0.9921,3.21,0.42,10,Good
4523,R,10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,Bad
4524,W,8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,Bad
4525,W,6.5,0.22,0.29,7.4,0.028,16,87,0.99311,3.15,0.56,10.9,Good
4526,W,6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,Good
4527,W,6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,Good
4528,R,13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,Bad
4529,R,6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,Good
4530,W,6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,Bad
4531,W,6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,Bad
4532,W,8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,Bad
4533,R,8.8,0.59,0.18,2.9,0.089,12,74,0.99738,3.14,0.54,9.4,Bad
4534,R,9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,Bad
4535,W,6,0.59,0,0.8,0.037,30,95,0.99032,3.1,0.4,10.9,Bad
4536,W,7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,Good
4537,W,7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,Good
4538,W,6.4,0.25,0.28,4.9,0.03,29,98,0.99024,3.09,0.58,12.8,Good
4539,R,10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,Good
4540,W,7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,Bad
4541,W,6.9,0.26,0.27,4.2,0.031,20,80,0.99089,3.12,0.39,11.5,Good
4542,W,6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,Bad
4543,W,7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,Good
4544,R,7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,Good
4545,R,7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9,Good
4546,W,5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,Bad
4547,W,6.6,0.32,0.26,4.6,0.031,26,120,0.99198,3.4,0.73,12.5,Good
4548,W,7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,Good
4549,W,6.7,0.25,0.36,8.6,0.037,63,206,0.99553,3.18,0.5,9.6,Bad
4550,W,7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,Good
4551,W,5.8,0.32,0.2,2.6,0.027,17,123,0.98936,3.36,0.78,13.9,Bad
4552,W,5.1,0.14,0.25,0.7,0.039,15,89,0.9919,3.22,0.43,9.2,Good
4553,W,6.4,0.145,0.49,5.4,0.048,54,164,0.9946,3.56,0.44,10.8,Bad
4554,W,7.4,0.24,0.4,4.3,0.032,9,95,0.992,3.09,0.39,11.1,Bad
4555,W,7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,Good
4556,W,6.4,0.17,0.34,13.4,0.044,45,139,0.99752,3.06,0.43,9.1,Good
4557,R,6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,Bad
4558,W,6.7,0.19,0.41,15.6,0.056,75,155,0.9995,3.2,0.44,8.8,Good
4559,R,8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,Bad
4560,W,7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,Good
4561,W,6.4,0.25,0.37,4.5,0.039,41,147,0.9921,3.18,0.4,11.1,Good
4562,W,6.3,0.2,0.26,4.7,0.04,108,168,0.99278,3.07,0.75,10.7,Good
4563,W,6,0.26,0.33,4.35,0.04,15,80,0.98934,3.29,0.5,12.7,Good
4564,W,6.6,0.33,0.41,2,0.027,14,79,0.99063,3.27,0.63,12.4,Good
4565,W,8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,Bad
4566,W,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,Bad
4567,W,6.8,0.19,0.33,1.3,0.031,22,87,0.98987,3.08,0.62,12.3,Good
4568,W,6.3,0.37,0.37,1.5,0.024,12,76,0.98876,2.94,0.39,12.3,Bad
4569,W,7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,Bad
4570,W,6.3,0.305,0.22,16,0.061,26,141,0.99824,3.08,0.5,9.1,Good
4571,W,6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,Bad
4572,W,6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,Good
4573,W,7.6,0.15,0.35,4.3,0.051,23,98,0.99422,3.1,0.44,9.5,Good
4574,R,9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,Bad
4575,W,5.9,0.3,0.29,1.1,0.036,23,56,0.9904,3.19,0.38,11.3,Bad
4576,W,7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,Good
4577,W,6.9,0.52,0.54,7.9,0.036,23,169,0.99267,3.26,0.47,12.2,Good
4578,R,7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,Bad
4579,R,7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,Good
4580,W,6.9,0.23,0.35,6.9,0.03,45,116,0.99244,2.8,0.54,11,Good
4581,W,6.5,0.15,0.55,5.9,0.045,75,162,0.99482,2.97,0.4,9.3,Bad
4582,W,6.6,0.26,0.46,6.9,0.047,59,183,0.99594,3.2,0.45,9.3,Bad
4583,W,5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,Good
4584,W,7.1,0.33,0.3,3.3,0.034,30,102,0.9912,3.08,0.31,12.3,Good
4585,W,7.2,0.25,0.32,1.5,0.047,27,132,0.9933,3.26,0.44,10.5,Bad
4586,R,10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,Bad
4587,W,6.8,0.22,0.29,8.9,0.046,82,188,0.9955,3.3,0.44,10.3,Bad
4588,W,6.5,0.48,0.02,0.9,0.043,32,99,0.99226,3.14,0.47,9.8,Bad
4589,W,6.4,0.25,0.33,1.7,0.037,35,113,0.99164,3.23,0.66,10.6,Good
4590,R,13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,Bad
4591,R,9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7,Bad
4592,W,8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,Bad
4593,W,6.2,0.55,0.45,12,0.049,27,186,0.9974,3.17,0.5,9.3,Bad
4594,W,7.2,0.21,0.35,14.5,0.048,35,178,0.9982,3.05,0.47,8.9,Bad
4595,W,6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,Good
4596,W,7.6,0.37,0.51,11.7,0.094,58,181,0.99776,2.91,0.51,9,Bad
4597,R,7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,Good
4598,R,9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,Bad
4599,W,6,0.2,0.32,3,0.031,26,118,0.99134,3.38,0.68,11.2,Good
4600,W,5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,Good
4601,R,7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,Good
4602,W,6.8,0.32,0.23,3.3,0.026,31,99,0.9896,3.1,0.4,12.4,Bad
4603,W,6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,Bad
4604,W,8,0.19,0.3,2,0.053,48,140,0.994,3.18,0.49,9.6,Bad
4605,W,6.2,0.16,0.34,1.7,0.038,85,153,0.9909,3.33,0.86,12,Good
4606,W,6.2,0.34,0.28,7.5,0.034,40,197,0.99485,3.14,0.6,9.7,Bad
4607,W,7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,Good
4608,W,6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,Good
4609,W,7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,Good
4610,W,7.3,0.22,0.49,9.9,0.031,48,161,0.9937,3.01,0.28,11.2,Bad
4611,R,6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,Bad
4612,W,5.8,0.25,0.28,11.1,0.056,45,175,0.99755,3.42,0.43,9.5,Bad
4613,R,10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,Good
4614,W,6.6,0.35,0.29,14.4,0.044,54,177,0.9991,3.17,0.58,8.9,Bad
4615,W,5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,Bad
4616,W,6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,Good
4617,W,6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,Good
4618,W,7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,Good
4619,W,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,Good
4620,W,7,0.2,0.74,0.8,0.044,19,163,0.9931,3.46,0.53,10.2,Bad
4621,R,8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,Good
4622,W,7.7,0.31,0.23,2,0.069,29,134,0.99382,3.11,0.62,9.8,Bad
4623,W,6.3,0.25,0.27,6.6,0.054,40,158,0.99378,3.2,0.48,10.3,Good
4624,R,6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,Bad
4625,W,6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,Bad
4626,W,7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,Good
4627,W,6.4,0.38,0.19,4.5,0.038,36,119,0.99151,3.07,0.42,11.2,Bad
4628,W,7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,Bad
4629,W,7.3,0.27,0.37,9.7,0.042,36,130,0.9979,3.48,0.75,9.9,Bad
4630,W,7.3,0.24,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9,Bad
4631,W,8.6,0.33,0.34,11.8,0.059,42,240,0.99882,3.17,0.52,10,Bad
4632,W,7.3,0.23,0.37,1.9,0.041,51,165,0.9908,3.26,0.4,12.2,Good
4633,W,6.2,0.22,0.2,20.8,0.035,58,184,1.00022,3.11,0.53,9,Good
4634,W,6.7,0.61,0.21,1.65,0.117,40,240,0.9938,3.11,0.57,9.3,Bad
4635,R,9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,Good
4636,W,8,0.2,0.3,8.1,0.037,42,130,0.99379,3.1,0.67,11.8,Bad
4637,W,8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,Bad
4638,W,7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,Bad
4639,R,8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,Bad
4640,R,5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,Bad
4641,W,6.8,0.26,0.22,4.8,0.041,110,198,0.99437,3.29,0.67,10.6,Bad
4642,W,7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,Bad
4643,W,5.3,0.33,0.3,1.2,0.048,25,119,0.99045,3.32,0.62,11.3,Bad
4644,R,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,Good
4645,W,6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,Good
4646,W,6.4,0.23,0.27,2.1,0.042,35,100,0.99094,3.03,0.63,10.9,Bad
4647,W,7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,Bad
4648,R,11.1,0.39,0.54,2.7,0.095,21,101,1.0001,3.13,0.51,9.5,Bad
4649,W,9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,Bad
4650,W,6.4,0.2,0.32,3.1,0.041,18,126,0.9914,3.43,0.42,12,Bad
4651,W,8.4,0.35,0.56,13.8,0.048,55,190,0.9993,3.07,0.58,9.4,Bad
4652,W,6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,Bad
4653,W,7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,Bad
4654,W,6.7,0.25,0.74,19.4,0.054,44,169,1.0004,3.51,0.45,9.8,Good
4655,W,6.4,0.29,0.3,2.9,0.036,25,79,0.99037,3.29,0.6,12.4,Good
4656,W,6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,Bad
4657,W,6.6,0.21,0.38,2.2,0.026,40,104,0.9914,3.25,0.4,11.1,Good
4658,W,6.7,0.22,0.39,1.2,0.049,26,152,0.99346,3.5,0.47,10,Bad
4659,W,7.9,0.44,0.37,5.85,0.033,27,93,0.992,3.16,0.54,12.6,Good
4660,R,9.7,0.42,0.46,2.1,0.074,5,16,0.99649,3.27,0.74,12.3,Good
4661,R,7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,Bad
4662,W,7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,Good
4663,W,6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8,Good
4664,R,9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,Bad
4665,R,7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,Good
4666,W,7,0.22,0.26,2.8,0.036,44,132,0.99078,3.34,0.41,12,Good
4667,W,7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,Good
4668,W,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,Bad
4669,W,9.2,0.22,0.4,2.4,0.054,18,151,0.9952,3.04,0.46,9.3,Bad
4670,W,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,Good
4671,R,7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,Bad
4672,W,7.9,0.29,0.31,7.35,0.034,37,154,0.9938,3.06,0.31,10.8,Bad
4673,W,5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,Good
4674,R,6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,Bad
4675,W,7.6,0.23,0.64,12.9,0.033,54,170,0.998,3,0.53,8.8,Good
4676,W,6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,Bad
4677,R,7.2,0.66,0.33,2.5,0.068,34,102,0.99414,3.27,0.78,12.8,Good
4678,R,8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,Good
4679,W,6.1,0.36,0.26,8.15,0.035,14,88,0.99031,3.06,0.27,13,Good
4680,W,7.6,0.48,0.33,7,0.024,14,130,0.9918,3.25,0.45,12.5,Good
4681,W,6.2,0.3,0.42,2.2,0.036,28,128,0.9901,3.13,0.38,11.6,Bad
4682,W,6.4,0.21,0.44,7.4,0.045,47,182,0.9957,3.24,0.46,9.1,Good
4683,W,8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,Good
4684,R,8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,Bad
4685,W,6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,Good
4686,W,6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,Good
4687,W,7.1,0.28,0.35,3.5,0.028,35,91,0.99022,2.96,0.33,12.1,Good
4688,W,7.8,0.445,0.56,1,0.04,8,84,0.9938,3.25,0.43,10.8,Good
4689,R,12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,Bad
4690,R,7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,Good
4691,R,6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,Bad
4692,W,6.4,0.22,0.32,7.2,0.028,15,83,0.993,3.13,0.55,10.9,Good
4693,W,6.3,0.19,0.32,2.8,0.046,18,80,0.99043,2.92,0.47,11.05,Good
4694,W,6.2,0.2,0.32,2.8,0.05,17,126,0.9936,3.18,0.55,9.4,Good
4695,W,6.6,0.43,0.24,11.9,0.04,54,159,0.99622,3.14,0.54,9.8,Good
4696,R,9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,Bad
4697,W,6.5,0.26,0.39,1.4,0.02,12,66,0.99089,3.25,0.75,11.3,Good
4698,W,7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,Good
4699,W,6.9,0.19,0.33,1.6,0.039,27,98,0.9898,3.09,0.46,12.3,Good
4700,W,7.3,0.21,0.33,1,0.037,66,144,0.9923,3.11,0.52,10.2,Good
4701,R,12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,Good
4702,W,6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,Good
4703,W,7,0.28,0.32,7.75,0.032,30,114,0.99158,3.12,0.64,12.8,Good
4704,R,7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,Bad
4705,W,6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,Good
4706,R,8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,Good
4707,W,6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11,Bad
4708,R,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,Bad
4709,W,6.7,0.31,0.44,6.7,0.054,29,160,0.9952,3.04,0.44,9.6,Bad
4710,W,7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,Bad
4711,W,6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.15,Good
4712,R,6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,Bad
4713,R,7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,Bad
4714,W,6.9,0.26,0.29,4.2,0.043,33,114,0.9902,3.16,0.31,12.5,Good
4715,W,7.8,0.17,0.5,1.3,0.045,35,140,0.9904,3.16,0.4,12,Good
4716,W,7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,Good
4717,R,7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,Bad
4718,W,5.6,0.185,0.49,1.1,0.03,28,117,0.9918,3.55,0.45,10.3,Good
4719,W,6.9,0.27,0.25,7.5,0.03,18,117,0.99116,3.09,0.38,13,Bad
4720,W,6.4,0.25,0.53,6.6,0.038,59,234,0.9955,3.03,0.42,8.8,Bad
4721,W,7.6,0.29,0.58,17.5,0.041,51,225,0.9997,3.16,0.66,9.5,Good
4722,W,7.7,0.26,0.4,1.1,0.042,9,60,0.9915,2.89,0.5,10.6,Bad
4723,W,7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,Bad
4724,R,7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,Good
4725,W,6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,Good
4726,W,7.9,0.37,0.31,2.85,0.037,5,24,0.9911,3.19,0.36,11.9,Good
4727,W,8.3,0.36,0.57,15,0.052,35,256,1.0001,2.93,0.64,8.6,Bad
4728,R,7.3,0.49,0.1,2.6,0.068,4,14,0.99562,3.3,0.47,10.5,Bad
4729,W,7.1,0.13,0.29,15.5,0.064,56,115.5,0.99737,3.16,0.41,9.7,Good
4730,R,7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,Bad
4731,W,5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9,Bad
4732,W,6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8,Good
4733,W,7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7,Bad
4734,W,6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,Good
4735,W,7.2,0.23,0.33,12.7,0.049,50,183,0.9987,3.41,0.4,9.8,Good
4736,W,6.2,0.27,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,Bad
4737,W,6.2,0.28,0.28,4.3,0.026,22,105,0.989,2.98,0.64,13.1,Good
4738,W,8,0.32,0.36,4.6,0.042,56,178,0.9928,3.29,0.47,12,Bad
4739,W,6.4,0.26,0.4,1.7,0.179,5,60,0.9925,3.09,0.54,10.1,Bad
4740,R,9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,Bad
4741,W,7.1,0.44,0.23,5.8,0.035,24,100,0.99062,3.15,0.57,13.2,Good
4742,R,9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,Bad
4743,W,6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,Good
4744,W,6.7,0.48,0.32,1.4,0.021,22,121,0.9889,3.15,0.53,12.7,Good
4745,W,6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,Bad
4746,R,7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,9.4,Bad
4747,W,6.3,0.3,0.19,7.7,0.049,47,184,0.99514,3.22,0.48,9.5,Bad
4748,W,9.2,0.23,0.3,1.1,0.031,40,99,0.9929,2.94,0.3,10.4,Good
4749,W,8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,Good
4750,R,9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,Good
4751,W,7.2,0.34,0.28,10.4,0.108,43,187,0.99738,2.96,0.57,9.4,Bad
4752,W,6.1,0.21,0.3,6.3,0.039,47,136,0.99068,3.27,0.31,12.7,Good
4753,W,7,0.2,0.35,8.8,0.037,31,103,0.99388,3.13,0.49,11,Good
4754,W,6.4,0.31,0.4,6.4,0.039,39,191,0.99513,3.14,0.52,9.8,Good
4755,W,6.6,0.35,0.19,10.5,0.06,15,82,0.99588,3.13,0.38,9.9,Bad
